partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
side,left | right,19,1900-2000,1950.0,289674,6030,11050.0,11050.0,0.020816504070092588,0.02030290256347768,0.021342815083984938
side,na | right,0,0-100,50.0,514,261,986.0,986.0,0.5077821011673151,0.46466423457627465,0.5507845049610665
side,na | right,1,100-200,150.0,148,69,125.0,125.0,0.46621621621621623,0.3877181475034963,0.5464237477346994
side,na | right,2,200-300,250.0,125,39,66.0,66.0,0.312,0.2374075954530664,0.39780339230244116
side,na | right,4,400-500,450.0,133,25,38.0,38.0,0.18796992481203006,0.13068596058578308,0.2627733383408591
side,na | right,7,700-800,750.0,121,9,9.0,9.0,0.0743801652892562,0.03962223436060222,0.1353322679847698
side,na | right,12,1200-1300,1250.0,115,3,3.0,3.0,0.02608695652173913,0.008910883301638278,0.07390186913521883
side,na | right,18,1800-1900,1850.0,105,0,0.0,0.0,0.0,0.0,0.035295328256842964
side,right | right,0,0-100,50.0,8820591,3904148,20418486.0,20418486.0,0.4426175071488974,0.44228974033576435,0.44294532394518665
side,right | right,1,100-200,150.0,3086227,694320,1609371.0,1609371.0,0.22497373005938967,0.22450820094432525,0.22543994385487678
side,right | right,2,200-300,250.0,1894371,307222,628443.0,628443.0,0.16217625797692214,0.16165202264839182,0.16270186345000762
side,right | right,3,300-400,350.0,1648877,209278,400289.0,400289.0,0.12692153508114917,0.12641429589681835,0.12743051267882638
side,right | right,4,400-500,450.0,1568952,157136,286272.0,286272.0,0.10015347824535104,0.09968470499570056,0.1006242095493422
