partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
flow,efferent | intrinsic,10,1000-1100,1050.0,76391,3086,6253.0,6253.0,0.04039742901650718,0.039024152635122336,0.04181692865589509
flow,efferent | intrinsic,11,1100-1200,1150.0,75959,2639,5294.0,5294.0,0.034742426835529694,0.03346345499960643,0.036068456771319216
flow,efferent | intrinsic,12,1200-1300,1250.0,72973,2314,4505.0,4505.0,0.0317103586257931,0.0304634162792497,0.03300660377708553
flow,efferent | intrinsic,13,1300-1400,1350.0,71240,1933,3775.0,3775.0,0.027133632790567096,0.025965796296246728,0.02835246494698191
flow,efferent | intrinsic,14,1400-1500,1450.0,70705,1710,3349.0,3349.0,0.02418499398910968,0.02307821224408084,0.02534347763974834
flow,efferent | intrinsic,15,1500-1600,1550.0,68003,1469,2827.0,2827.0,0.021601988147581724,0.020536019565463904,0.02272200463897144
flow,efferent | intrinsic,16,1600-1700,1650.0,67658,1309,2682.0,2682.0,0.01934730556623016,0.0183363449555418,0.020412845696106085
flow,efferent | intrinsic,17,1700-1800,1750.0,66062,1145,2244.0,2244.0,0.017332203081953317,0.016364702310969183,0.01835583623735077
flow,efferent | intrinsic,18,1800-1900,1850.0,64857,995,1887.0,1887.0,0.01534144348335569,0.014423823338752962,0.01631647467181124
flow,efferent | intrinsic,19,1900-2000,1950.0,64433,910,1772.0,1772.0,0.014123197740288362,0.013240602847370296,0.01506372670561636
flow,intrinsic | intrinsic,0,0-100,50.0,17516724,7825573,40502223.0,40502223.0,0.44674866145062286,0.44651585196991833,0.4469814942884684
flow,intrinsic | intrinsic,1,100-200,150.0,6294534,1450639,3351430.0,3351430.0,0.23046011031158145,0.23013128106005107,0.23078926856723134
flow,intrinsic | intrinsic,2,200-300,250.0,3891757,648936,1326298.0,1326298.0,0.1667462793797249,0.16637626897310873,0.16711694770317884
flow,intrinsic | intrinsic,3,300-400,350.0,3399709,446409,853696.0,853696.0,0.1313080031261499,0.13094940378070188,0.13166743569913283
flow,intrinsic | intrinsic,4,400-500,450.0,3247909,338358,613490.0,613490.0,0.10417717984093766,0.10384540819974394,0.1045098878329635
flow,intrinsic | intrinsic,5,500-600,550.0,3020462,247844,433154.0,433154.0,0.08205499688458255,0.08174601423888436,0.08236504266266373
flow,intrinsic | intrinsic,6,600-700,650.0,2994950,198401,338071.0,338071.0,0.06624517938529859,0.06596405614231926,0.06652741537498924
flow,intrinsic | intrinsic,7,700-800,750.0,2866373,151959,253394.0,253394.0,0.053014384380539445,0.05275558991374106,0.053274376973080434
flow,intrinsic | intrinsic,8,800-900,850.0,2778651,119544,197607.0,197607.0,0.04302231550489788,0.04278436506744599,0.043261529521723845
