partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
pre_neuropil,AOTU_L | AOTU_L,7,700-800,750.0,1501,80,141.0,141.0,0.05329780146568954,0.043031632079806745,0.06584467755969285
pre_neuropil,AOTU_L | AOTU_L,8,800-900,850.0,1374,65,110.0,110.0,0.04730713245997089,0.03728870844974892,0.059849888613948396
pre_neuropil,AOTU_L | AOTU_L,9,900-1000,950.0,1414,44,63.0,63.0,0.031117397454031116,0.023260823338308617,0.041514818736236234
pre_neuropil,AOTU_L | AOTU_L,10,1000-1100,1050.0,1260,26,29.0,29.0,0.020634920634920634,0.014120109436231312,0.030063908560960736
pre_neuropil,AOTU_L | AOTU_L,11,1100-1200,1150.0,1211,31,41.0,41.0,0.02559867877786953,0.018091786653217583,0.03610589640274626
pre_neuropil,AOTU_L | AOTU_L,12,1200-1300,1250.0,1196,28,32.0,32.0,0.023411371237458192,0.016246430255620725,0.033628153189394015
pre_neuropil,AOTU_L | AOTU_L,14,1400-1500,1450.0,1167,16,21.0,21.0,0.013710368466152529,0.008456567885470563,0.022155258684408746
pre_neuropil,AOTU_L | AOTU_L,15,1500-1600,1550.0,1104,15,20.0,20.0,0.01358695652173913,0.008250875040961884,0.022296452302586145
pre_neuropil,AOTU_L | AOTU_L,16,1600-1700,1650.0,1064,9,11.0,11.0,0.008458646616541353,0.0044563768413702675,0.015997593110727498
pre_neuropil,AOTU_L | AOTU_L,17,1700-1800,1750.0,968,6,6.0,6.0,0.006198347107438017,0.0028437240307699905,0.013456874749936659
pre_neuropil,AOTU_L | AOTU_L,18,1800-1900,1850.0,985,8,12.0,12.0,0.008121827411167513,0.004121045125687195,0.015944453736820206
pre_neuropil,AOTU_L | AOTU_L,19,1900-2000,1950.0,929,6,21.0,21.0,0.006458557588805167,0.0029632371058414377,0.014018852886714641
pre_neuropil,AOTU_L | AOTU_R,0,0-100,50.0,1985,1423,15142.0,15142.0,0.7168765743073048,0.6966531894257058,0.7362621317341091
pre_neuropil,AOTU_L | AOTU_R,1,100-200,150.0,625,295,1438.0,1438.0,0.472,0.43315192308393413,0.5111901815096551
pre_neuropil,AOTU_L | AOTU_R,3,300-400,350.0,338,104,285.0,285.0,0.3076923076923077,0.2608784168110992,0.35882848837539655
pre_neuropil,AOTU_L | AOTU_R,5,500-600,550.0,267,48,107.0,107.0,0.1797752808988764,0.13835931952805697,0.23027533630029434
pre_neuropil,AOTU_L | AOTU_R,8,800-900,850.0,269,24,61.0,61.0,0.08921933085501858,0.06068723260069418,0.12931898346019977
pre_neuropil,AOTU_L | AOTU_R,9,900-1000,950.0,239,18,36.0,36.0,0.07531380753138076,0.04816731882457605,0.11589682833966598
