partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance,direction
cell_type,CB0785 | LC18,564,561,245.9744878808364,3899.0,3899.0,0.9946808510638298,2.280724333784483,1.1878476989947202,0.5585558725517086,enriched
cell_type,KCapbp-ap2 | MBON12,596,583,256.48544501825955,2727.0,2727.0,0.9781879194630873,2.273033465733291,1.1830460046637155,0.5478432130566114,enriched
cell_type,LT11 | Tm25,723,722,317.8106295738217,20658.0,20658.0,0.9986168741355463,2.271793114560671,1.182562252890861,0.5590447723736905,enriched
cell_type,LPi12 | T4b,1500,1464,644.9977482895955,18853.0,18853.0,0.976,2.2697753657004758,1.1819242251625712,0.5460015011402697,enriched
cell_type,LT83 | T2a,1769,1741,768.8055418906453,14860.0,14860.0,0.9841718485019785,2.264551834158916,1.1787018666044484,0.549572898874706,enriched
cell_type,Li28 | TmY9q,708,683,301.65745098373634,7247.0,7247.0,0.9646892655367232,2.2641575660493913,1.1776408195410697,0.5386194195144967,enriched
cell_type,Pm12 | Tm2,3059,2984,1319.9417926768292,43718.0,43718.0,0.97548218372017,2.260705749719824,1.1764685473356027,0.5439876454145703,enriched
cell_type,LT1d | T3,1670,1658,734.1695931256431,34528.0,34528.0,0.9928143712574851,2.258333790345708,1.1747115421420447,0.5531918604038065,enriched
cell_type,LC12 | cL21,760,760,337.01328307844597,9531.0,9531.0,1.0,2.2551039919192033,1.1720039663661508,0.5565614696336237,enriched
cell_type,ORN_VM5d | VM5d_adPN,590,589,261.19675807337126,5194.0,5194.0,0.9983050847457627,2.2550050174610035,1.171595760964449,0.5555987151298792,enriched
cell_type,Am1 | T5b,1514,1510,670.1625240304786,20866.0,20866.0,0.9973579920739762,2.2531847810865147,1.1713672910438826,0.55471431702082,enriched
cell_type,LT1a | T2a,1770,1754,780.658984987876,34041.0,34041.0,0.9909604519774011,2.2468197173535898,1.1673718405967888,0.5499101779729514,enriched
cell_type,LPi15 | T4b,1504,1500,667.6584008983359,34116.0,34116.0,0.9973404255319149,2.2466578687271013,1.1671812495970721,0.5534186164239788,enriched
cell_type,LC12 | PVLP097,2660,2657,1183.2831654336196,37044.0,37044.0,0.9988721804511278,2.2454473093313467,1.166664846264329,0.554028885175331,enriched
cell_type,Am1 | T4b,1506,1492,664.3818273291604,17689.0,17689.0,0.9907038512616202,2.2456965838422995,1.1665610801636803,0.549547259409588,enriched
